Condition1,Condition2,Condition3,Condition4
2.119212057,1.717689711,14.31923558,-2.611015068
-0.122338057,0.689443103,3.926712448,1.501376615
0.941116284,1.580669932,3.502721861,-3.980372221
1.650837829,0.63498621,-2.351681117,6.226198073
1.727951335,-0.668345625,-0.898550237,7.978369477
1.163367716,0.678863734,-1.334892429,9.250490226
1.935290255,1.867123275,-7.955693148,8.977808036
0.247325057,1.655358619,-2.241771891,18.05544366
1.157175513,0.776276787,-3.25207363,7.928556792
2.18662197,1.761817171,0.714422131,12.13871334
2.030470595,2.096813491,23.26880585,9.792797568
1.346309098,1.094841923,30.09881616,11.25355419
-0.257483997,1.845702566,7.344746388,14.33962563
1.769903675,0.499104628,1.797168955,8.410512763
1.55828195,-0.03410914,-3.596086124,18.63297823
1.102393575,0.884622083,15.67909486,9.539571092
0.02084355,1.38615728,27.31501002,20.69980274
1.716711583,1.280782725,32.00712495,26.4078035
0.365354595,-1.223132949,19.65625198,24.39455533
2.36437838,2.070909291,-0.376201308,24.28042353
0.893473751,1.880488139,40.27359394,30.48577731
-0.022938249,0.262899883,35.70673941,15.82165969
0.086704142,1.347181077,24.2434244,21.34567731
1.891726184,2.060296724,32.57052093,31.1666573
0.85185912,0.714708739,45.99539653,26.38306599
-0.346194115,-1.048868669,13.17238479,33.43907446
1.268824,-0.311085623,28.53282141,38.23913779
2.16289573,0.836741934,27.00145786,19.94639007
1.330475584,1.696717086,32.17351239,30.07067958
0.126212986,1.612078254,37.40400185,35.63447369
-0.694604272,0.830679274,48.315183,40.08324575
1.898389815,3.03473184,35.89767858,31.39190293
0.71120129,0.623914222,31.45814513,34.71572588
0.253413967,-0.318535133,42.82736443,43.68873979
2.320558762,0.906464625,28.79847987,34.03987233
1.314198281,0.578689466,51.76569772,41.56319074
1.638045185,2.260604957,33.38309106,37.44043205
0.938751139,0.776034306,27.80622385,28.65199687
-0.59952076,0.597961904,40.08631358,38.49453809
3.526685718,1.56712322,52.97434247,36.73043647
0.982469774,-0.071597415,51.30844409,48.86443346
1.252348946,0.463604085,45.98854702,52.21145108
0.332991179,-1.120238645,58.38972636,47.8330024
0.405042617,1.809901859,29.0754265,41.26899259
1.490354169,-0.23058275,33.44478322,50.92786644
0.574556734,0.065367094,57.58483965,49.78760658
0.069547987,0.623824856,45.59096567,51.16112203
1.068002419,0.606562028,25.2620718,47.04870987
-0.018392666,0.23875857,62.18282399,53.34160023
2.130676519,0.906643224,41.62943655,52.99414453
0.017972044,2.077950293,30.36416634,50.27009228
1.87809692,0.04168582,49.34488659,63.98223088
1.051626638,0.887221629,62.82126563,55.46456996
1.033372564,1.559756426,44.63947256,63.02516193
1.84420131,1.621190909,63.25366867,49.89424316
1.359182048,1.544353662,52.7773384,59.71854547
0.501908239,1.156338595,65.36163066,55.4056063
0.765837542,0.339230378,55.64441239,61.24107224
0.194696239,0.690294405,61.02465045,65.23281529
2.202571351,1.460605338,46.53318629,64.2995194
1.412845448,0.678589389,51.54348925,65.91286184
1.413174722,3.275292106,78.00401805,70.1201321
2.458527025,1.286351249,66.66040257,72.16492678
1.003197543,2.275825863,52.17382826,73.86897207
0.362789069,1.482460762,46.2526399,68.38502403
-0.737166616,1.100314575,53.94247334,72.36962171
2.350452781,2.185232083,65.83456084,80.67753974
1.590515679,-0.206772062,84.11346823,82.89188727
-1.803296262,-0.243541827,83.51660363,70.19227168
1.110214769,1.07382686,51.08482365,74.88143905
0.131809585,-0.492818695,63.39405205,71.70067482
1.604154143,1.24350406,56.53885122,77.84984068
1.424608496,1.31746368,64.66127194,74.51060231
1.63857376,-0.054760206,71.60624587,77.61709038
0.717412227,-0.239666458,95.96678385,72.1514297
0.96358974,1.49756845,66.78156414,78.10938435
1.358105321,1.585699623,85.01051807,83.51447454
0.189904432,1.009735628,79.77842967,85.31538466
0.901949358,0.813989845,94.54483202,79.7094202
1.272747298,1.427900252,86.513804,81.45822478
0.654107834,2.159527666,73.54139993,83.92176451
2.667042222,2.402207249,88.90813577,74.90192055
1.7454186,1.203535545,80.95386178,88.47916482
2.140942962,0.358613678,68.6595831,95.48710488
1.977737052,0.537425872,81.45827812,84.60936855
2.112120403,2.348206622,84.32896583,92.44959225
0.009124568,-1.140340845,91.78457447,86.5317549
1.790206756,1.860701474,86.09253505,91.96719943
-0.258705922,0.543546066,77.86601371,89.30833592
0.360614079,1.405800839,93.47162576,88.90513003
-0.312600516,1.294825661,76.51516345,96.50505536
1.183783007,-0.209345205,101.5883152,98.78452385
3.502604217,1.768514137,95.939807,95.17680326
-1.515849249,1.140952066,101.6014262,103.6119464
0.264509501,1.414907954,84.43385191,96.76054756
0.170263129,-0.147803519,85.68339584,100.6790426
1.509099894,0.77747611,89.42186273,104.116224
1.584245117,0.734604797,105.5196158,103.1546315
1.558478613,0.736207148,117.4385146,114.0418712
0.909525623,2.265528795,113.9498136,100.0948284
